X,MajorityProteinIDs,ProteinNames,GeneID,Intensity.T2.1,Intensity.T2.1NK,Intensity.T2.2,Intensity.T2.2NK,Intensity.T2.3,Intensity.T2.3NK,logFC_RNFT2.CTRL,pvalue_RNFT2.CTRL,adjpval_RNFT2.CTRL
152,Q13325,Interferon-induced protein with tetratricopeptide repeats 5,IFIT5,22.73318514,13.79020335,22.81705474,13.79020335,22.57843615,13.79020335,8.919355327,4.87e-09,4.98e-08
153,Q86V81,THO complex subunit 4,ALYREF,13.79020335,13.79020335,13.79020335,24.59249549,19.52881431,20.77840911,-4.017295645,0.281723218,0.303169276
154,O14966,Ras-related protein Rab-7L1,RAB29,22.638073,13.79020335,22.72627853,13.79020335,22.74991505,13.79020335,8.914552177,2.17e-09,3.84e-08
155,Q13586,Stromal interaction molecule 1,STIM1,22.92725392,13.79020335,22.97277332,13.79020335,21.66073629,13.79020335,8.730051161,3.95e-06,8.35e-06
156,Q8TAA9,Vang-like protein 1,VANGL1,22.45376926,13.79020335,23.03265712,13.79020335,22.35169959,13.79020335,8.822505306,1.58e-07,5.53e-07
157,O60763,General vesicular transport factor p115,USO1,22.50753252,13.79020335,22.56063613,13.79020335,22.94959259,13.79020335,8.882383729,3.07e-08,1.58e-07
158,P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,22.1020289,13.79020335,23.15905446,13.79020335,22.34906877,13.79020335,8.746514028,9.87e-07,2.51e-06
159,Q9Y385,Ubiquitin-conjugating enzyme E2 J1,UBE2J1,22.50224648,13.79020335,22.66902174,13.79020335,22.71091649,13.79020335,8.837191553,4.35e-09,4.94e-08
160,Q8NEN9,PDZ domain-containing protein 8,PDZD8,22.50225597,13.79020335,22.78177325,13.79020335,22.54813534,13.79020335,8.820518174,8e-09,6.72e-08
161,P17980,26S protease regulatory subunit 6A,PSMC3,22.42045993,13.79020335,22.33846023,13.79020335,23.08722226,13.79020335,8.82517746,2.53e-07,7.88e-07
162,Q14677,Clathrin interactor 1,CLINT1,22.30534191,13.79020335,22.56250389,13.79020335,22.9473813,13.79020335,8.81487235,9.45e-08,3.74e-07
163,Q70EL1,Inactive ubiquitin carboxyl-terminal hydrolase 54,USP54,21.94227042,13.79020335,22.61074167,13.79020335,23.12277613,13.79020335,8.768392724,1.33e-06,3.23e-06
164,Q9BZF1,Oxysterol-binding protein-related protein 8,OSBPL8,22.57776426,13.79020335,22.60353478,13.79020335,22.64188117,13.79020335,8.817523388,1.84e-09,3.6e-08
165,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,22.98838046,13.79020335,22.36102615,13.79020335,22.3431272,13.79020335,8.773974589,1.63e-07,5.64e-07
166,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,21.68795204,22.4775932,21.8953155,22.39252696,22.44924576,22.44639208,-0.427999649,0.111954595,0.125923613
167,Q96HC4,PDZ and LIM domain protein 5,PDLIM5,22.3906841,13.79020335,22.21872236,13.79020335,23.08794347,13.79020335,8.775579959,4.28e-07,1.2e-06
168,Q99640,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,PKMYT1,22.73522387,13.79020335,22.83128719,13.79020335,21.84385254,13.79020335,8.679917851,9.56e-07,2.45e-06
169,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,CISD2,22.56587778,13.79020335,22.55567562,13.79020335,22.58386441,13.79020335,8.778269254,1.74e-09,3.6e-08
170,Q96HY6,DDRGK domain-containing protein 1,DDRGK1,22.84599282,13.79020335,22.87491536,13.79020335,21.30556586,13.79020335,8.551954665,1.05e-05,2.02e-05
171,Q15398,Disks large-associated protein 5,DLGAP5,22.55467105,13.79020335,22.3529934,13.79020335,22.71894745,13.79020335,8.752000618,1.39e-08,9.13e-08
172,P62280,40S ribosomal protein S11,RPS11,21.90761013,21.94666067,22.06454745,22.14503061,22.13447567,21.5256849,0.163085693,0.438218655,0.460425681
173,P27105,Erythrocyte band 7 integral membrane protein,STOM,22.45907488,13.79020335,22.25163929,13.79020335,22.87985109,13.79020335,8.73998507,9.49e-08,3.74e-07
174,P52272,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,21.23963635,22.28357597,21.47771568,23.34828819,21.49242571,22.83141487,-1.417833762,0.005212081,0.007487101
175,Q92945,Far upstream element-binding protein 2,KHSRP,21.26805451,23.51234701,21.80970603,22.40328443,20.96319587,23.7459478,-1.873540945,0.008375032,0.011812404
176,Q9Y490,Talin-1,TLN1,22.47093436,13.79020335,22.51086558,13.79020335,22.56695617,13.79020335,8.726048689,2.18e-09,3.84e-08
177,Q9Y4P8,WD repeat domain phosphoinositide-interacting protein 2,WIPI2,22.7238206,13.79020335,22.12618411,13.79020335,22.62181664,13.79020335,8.700403769,9.66e-08,3.78e-07
178,Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,22.19640298,13.79020335,22.61996533,13.79020335,22.52082404,13.79020335,8.655527433,2.62e-08,1.41e-07
179,P49959,Double-strand break repair protein MRE11A,MRE11,22.32186439,13.79020335,22.42295252,13.79020335,22.61860076,13.79020335,8.664269209,8.87e-09,7.16e-08
180,Q9Y678,Coatomer subunit gamma-1,COPG1,22.53559766,13.79020335,22.61714075,13.79020335,22.00101886,13.79020335,8.594382407,1.23e-07,4.59e-07
181,Q8NFQ8,Torsin-1A-interacting protein 2,TOR1AIP2,21.94772357,13.79020335,22.59976217,13.79020335,22.62968996,13.79020335,8.602188549,2.19e-07,6.96e-07
182,Q9HD20,Manganese-transporting ATPase 13A1,ATP13A1,22.36117362,13.79020335,22.48802219,13.79020335,22.37284597,13.79020335,8.61714391,2.9e-09,4.74e-08
183,Q9UGI8,Testin,TES,22.31421453,16.89628874,22.08651967,13.79020335,22.52393418,13.79020335,7.482657646,0.000537095,0.000852227
184,Q96KG9,N-terminal kinase-like protein,SCYL1,22.19571113,13.79020335,22.64273315,13.79020335,22.27477606,13.79020335,8.580870094,3.5e-08,1.7e-07
185,Q99942,E3 ubiquitin-protein ligase RNF5,RNF5,22.15351576,13.79020335,22.19324633,13.79020335,22.7731545,13.79020335,8.583102181,1.43e-07,5.15e-07
186,P27816,Microtubule-associated protein 4,MAP4,22.04571846,16.55478715,22.25012793,16.26254057,22.26744753,17.88662742,5.286446261,9.56e-05,0.000163294
187,Q9Y394,Dehydrogenase/reductase SDR family member 7,DHRS7,22.41059126,13.79020335,22.54744973,13.79020335,21.9932967,13.79020335,8.526909213,7.19e-08,3.08e-07
188,P06733,Alpha-enolase,ENO1,22.36583736,20.49967094,19.55814592,20.96167941,22.59874945,21.59124032,0.490047354,0.620112941,0.638660509
189,A6NKL6,Transmembrane protein 200C,TMEM200C,21.36709052,23.33204075,21.00167229,22.38747645,21.40800497,23.01327539,-1.652008271,0.002321372,0.00345429
190,O75663,TIP41-like protein,TIPRL,21.9601372,13.79020335,22.03611194,13.79020335,22.89517879,13.79020335,8.506939292,8.52e-07,2.24e-06
191,Q8TAT6,Nuclear protein localization protein 4 homolog,NPLOC4,21.3174515,13.79020335,22.91565399,13.79020335,22.15282642,13.79020335,8.338440619,6.89e-06,1.38e-05
192,Q9Y265,RuvB-like 1,RUVBL1,22.1374235,13.79020335,22.14541037,13.79020335,22.38820787,18.0150412,7.025197944,0.002760594,0.004068933
193,P12270,Nucleoprotein TPR,TPR,22.61482593,13.79020335,21.99688464,13.79020335,22.17931287,13.79020335,8.473471129,1.07e-07,4.14e-07
194,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,21.17316527,22.61522009,21.3327508,22.52643412,21.03274199,22.66743279,-1.42347631,7.9e-05,0.000136511
195,Q3YEC7,Rab-like protein 6,RABL6,22.16610234,13.79020335,22.12339042,13.79020335,22.43632402,13.79020335,8.451735576,1.34e-08,8.93e-08
196,Q9HCU5,Prolactin regulatory element-binding protein,PREB,22.40459901,13.79020335,22.17202757,13.79020335,22.08796476,13.79020335,8.431327095,1.24e-08,8.7e-08
197,Q86UP2,Kinectin,KTN1,22.50635054,13.79020335,22.11390052,13.79020335,21.96587205,13.79020335,8.405171019,6.82e-08,2.99e-07
198,Q9Y2J2,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,22.1495621,13.79020335,22.20758488,13.79020335,22.30293709,13.79020335,8.429824674,3.52e-09,4.81e-08
199,O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,22.07530838,13.79020335,22.1848105,13.79020335,22.34943583,13.79020335,8.412981553,8.41e-09,6.88e-08
200,P62753,40S ribosomal protein S6,RPS6,20.43028217,22.59851187,21.6190455,22.25781223,21.435895,21.69190034,-1.021000594,0.058621585,0.074871922
201,Q92997,Segment polarity protein dishevelled homolog DVL-3,DVL3,22.36196359,13.79020335,22.016515,13.79020335,22.14046858,13.79020335,8.382779041,1.52e-08,9.74e-08
202,P36578,60S ribosomal protein L4,RPL4,20.71759476,22.2273725,21.08283582,22.71040303,21.07602523,22.09334678,-1.384888833,0.001453582,0.002210581
203,Q9HA64,Ketosamine-3-kinase,FN3KRP,21.60557315,22.48928746,21.22687787,21.73533062,21.19312101,22.58424828,-0.927764777,0.021989298,0.029668858
204,Q15811,Intersectin-1,ITSN1,21.89087087,13.79020335,21.69677464,13.79020335,22.78717484,13.79020335,8.334736768,1.58e-06,3.7e-06
205,Q9P258,Protein RCC2,RCC2,20.40543009,23.06201198,21.52728621,22.00891193,20.87800154,22.67423857,-1.644814878,0.010544857,0.014706056
206,P62241,40S ribosomal protein S8,RPS8,20.95022254,22.39814652,21.58741581,22.13702614,21.08841253,22.21397014,-1.04103064,0.00395894,0.005780424
207,Q8WY22,BRI3-binding protein,BRI3BP,22.3102251,13.79020335,22.08312161,13.79020335,21.97762995,13.79020335,8.333455536,1.45e-08,9.37e-08
208,P57740,Nuclear pore complex protein Nup107,NUP107,22.30994578,13.79020335,22.11213699,13.79020335,21.9040698,13.79020335,8.318514173,2.42e-08,1.32e-07
209,Q9UPQ9,Trinucleotide repeat-containing gene 6B protein,TNRC6B,22.03923886,13.79020335,22.02127206,13.79020335,22.31034961,13.79020335,8.333416825,1.28e-08,8.75e-08
210,P09651;A0A2R8Y4L2,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",HNRNPA1,18.77956989,19.03208533,20.20616069,23.46098474,21.06833059,19.71808341,-0.719030769,0.624446999,0.641993444
211,Q9Y6I9,Testis-expressed sequence 264 protein,TEX264,22.38805837,13.79020335,22.0155164,13.79020335,21.85010013,13.79020335,8.29435495,6.92e-08,3.01e-07
212,Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1,22.09688488,13.79020335,22.32406357,13.79020335,21.77974236,13.79020335,8.276693586,6.79e-08,2.99e-07
213,Q86YZ3,Hornerin,HRNR,20.89290549,22.90012067,20.24027397,22.79625799,18.57230151,21.2790975,-2.423331725,0.027591439,0.036670673
214,Q9NR12,PDZ and LIM domain protein 7,PDLIM7,21.63472869,13.79020335,21.79288397,13.79020335,22.70878038,13.79020335,8.255260996,1.63e-06,3.78e-06
215,P42566,Epidermal growth factor receptor substrate 15,EPS15,20.89370599,13.79020335,21.52451324,13.79020335,23.05027431,13.79020335,8.032627834,3.88e-05,6.96e-05
216,Q9NZ52,ADP-ribosylation factor-binding protein GGA3,GGA3,21.38124607,13.79020335,19.77659612,13.79020335,23.27245162,13.79020335,7.686561251,0.000409102,0.000652465
217,Q9H089,Large subunit GTPase 1 homolog,LSG1,21.84352965,13.79020335,22.12978922,13.79020335,22.17587393,13.79020335,8.259527585,1.77e-08,1.07e-07
218,Q9H910,Hematological and neurological expressed 1-like protein,JPT2,22.08200461,13.79020335,22.1400759,13.79020335,21.85068158,13.79020335,8.23405068,1.18e-08,8.54e-08
219,Q9NXW2,DnaJ homolog subfamily B member 12,DNAJB12,22.44167693,13.79020335,21.67770976,13.79020335,21.88718729,13.79020335,8.211987975,3.05e-07,9e-07
220,P49790,Nuclear pore complex protein Nup153,NUP153,21.62801844,21.19017785,21.61134396,19.98273424,21.82975749,20.70840691,1.062600297,0.02446382,0.032794173
221,O60884,DnaJ homolog subfamily A member 2,DNAJA2,21.84263235,13.79020335,21.97573596,19.09927158,21.98772218,13.79020335,6.375470735,0.010586469,0.014731059
222,Q99618,Cell division cycle-associated protein 3,CDCA3,21.96586098,13.79020335,21.84126293,13.79020335,22.27656681,13.79020335,8.237693555,3.48e-08,1.7e-07
223,P08240,Signal recognition particle receptor subunit alpha,SRPRA,22.27806885,13.79020335,22.32502673,13.79020335,20.76957248,13.79020335,8.000686001,1.36e-05,2.59e-05
224,Q8IWB9,Testis-expressed sequence 2 protein,TEX2,21.99229513,13.79020335,22.24344867,13.79020335,21.61299329,13.79020335,8.159375681,1.29e-07,4.69e-07
225,P62633,Cellular nucleic acid-binding protein,CNBP,21.12083474,22.37036771,20.91929159,21.23663528,21.11386503,22.79201612,-1.081675917,0.054018066,0.069563638
226,Q96S66,Chloride channel CLIC-like protein 1,CLCC1,21.96550822,13.79020335,22.17964829,13.79020335,21.64441989,13.79020335,8.139655449,6.99e-08,3.02e-07
227,Q9UGP4,LIM domain-containing protein 1,LIMD1,21.91528168,13.79020335,21.9198667,13.79020335,22.07259616,13.79020335,8.179044829,4.77e-09,4.98e-08
228,Q9H3U1,Protein unc-45 homolog A,UNC45A,22.05102472,13.79020335,21.60860689,13.79020335,22.22542184,13.79020335,8.171481134,1.29e-07,4.69e-07
229,P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,19.69234581,22.66174914,20.26467797,21.6826023,20.87002909,23.21244905,-2.243249213,0.007348479,0.010483381
230,Q9H3N1,Thioredoxin-related transmembrane protein 1,TMX1,21.91760522,13.79020335,21.88245018,13.79020335,22.03064571,13.79020335,8.153363686,4.15e-09,4.94e-08
231,Q9Y266,Nuclear migration protein nudC,NUDC,21.71867069,13.79020335,22.13011833,13.79020335,21.86574006,13.79020335,8.114639677,2.97e-08,1.55e-07
232,P62304,Small nuclear ribonucleoprotein E,SNRPE,22.0782989,13.79020335,21.81155432,13.79020335,21.82183834,13.79020335,8.113693835,1.23e-08,8.7e-08
233,P16403,Histone H1.2,H1-2,19.06381609,19.98022259,13.79020335,23.72066774,19.44968418,17.11711443,-2.838100379,0.287056152,0.308374657
234,P62826,GTP-binding nuclear protein Ran,RAN,21.15918557,13.79020335,21.67176864,19.43813496,22.12008612,19.27655472,4.148715769,0.058208472,0.074497263
235,A6NIH7,Protein unc-119 homolog B,UNC119B,21.65775763,13.79020335,22.02755557,13.79020335,21.90398446,13.79020335,8.072895869,2.24e-08,1.25e-07
236,Q92890,Ubiquitin fusion degradation protein 1 homolog,UFD1,21.54453597,13.79020335,21.26893167,13.79020335,22.59477272,13.79020335,8.012543436,4.49e-06,9.4e-06
237,O15155,BET1 homolog,BET1,22.296257,13.79020335,21.86194822,13.79020335,21.16804642,13.79020335,7.985213865,1.76e-06,4.04e-06
238,P27635;Q96L21,60S ribosomal protein L10;60S ribosomal protein L10-like,RPL10;RPL10L,21.44802275,21.07654747,21.41401557,21.3458649,20.32130508,21.6938831,-0.310984024,0.44939599,0.469788749
239,P62258,14-3-3 protein epsilon,YWHAE,20.3249846,13.79020335,20.53842401,13.79020335,23.08859388,13.79020335,7.527130811,0.000247467,0.000404
240,Q96CS3,FAS-associated factor 2,FAF2,22.11815518,13.79020335,21.80047037,13.79020335,21.47996795,13.79020335,8.009327817,1.44e-07,5.16e-07
241,O75113,NEDD4-binding protein 1,N4BP1,21.69928013,13.79020335,20.99358485,13.79020335,22.54082701,13.79020335,7.954360646,7.49e-06,1.48e-05
242,O75534,Cold shock domain-containing protein E1,CSDE1,21.31635702,13.79020335,21.78331023,13.79020335,22.25773077,13.79020335,7.995595987,7.46e-07,2e-06
243,Q9P0L0,Vesicle-associated membrane protein-associated protein A,VAPA,21.67953982,13.79020335,21.93380858,13.79020335,21.78492476,13.79020335,8.009221038,9.17e-09,7.28e-08
244,Q9P246,Stromal interaction molecule 2,STIM2,21.37139108,13.79020335,22.46706882,13.79020335,20.9559556,13.79020335,7.807935147,8.5e-06,1.66e-05
245,P62249,40S ribosomal protein S16,RPS16,20.65577243,22.34089201,20.7896342,21.41296923,21.1368265,21.71390927,-0.961845796,0.02136075,0.028946376
246,Q02543,60S ribosomal protein L18a,RPL18A,20.58679,21.87362311,21.16987419,21.60795088,20.80864236,21.66264655,-0.859637993,0.006213946,0.008885229
247,Q15056,Eukaryotic translation initiation factor 4H,EIF4H,21.90303616,13.79020335,21.91610207,13.79020335,21.44556947,13.79020335,7.964699215,7.63e-08,3.23e-07
248,Q9Y217,Myotubularin-related protein 6,MTMR6,21.82019783,13.79020335,21.78766322,13.79020335,21.71646912,13.79020335,7.984573373,3.53e-09,4.81e-08
249,P62081,40S ribosomal protein S7,RPS7,21.04606913,13.79020335,21.66017256,21.28056593,21.69739312,13.79020335,5.180887393,0.070645628,0.089860082
250,P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,HNRNPC,13.79020335,18.03856,13.79020335,23.61152391,13.79020335,13.79020335,-4.689892405,0.12705794,0.140622845
251,Q07065,Cytoskeleton-associated protein 4,CKAP4,21.14633176,13.79020335,22.35656296,13.79020335,21.31623758,13.79020335,7.816174082,3.74e-06,7.99e-06
252,Q15366;P57721,Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,PCBP2;PCBP3,21.680225,13.79020335,21.46865357,18.52493422,21.58113397,18.65753818,4.585778926,0.025018226,0.03346524
253,O75607,Nucleoplasmin-3,NPM3,20.74946162,13.79020335,21.65211044,20.54538958,21.64768633,20.64315277,3.02350423,0.20273235,0.220453709
254,Q9H920,RING finger protein 121,RNF121,22.493702,13.79020335,13.79020335,13.79020335,22.31236192,13.79020335,5.741885738,0.077576813,0.093221303
255,Q8N0X7,Spartin,SPART,22.05236319,13.79020335,21.91018149,13.79020335,20.7326007,13.79020335,7.774845112,6.12e-06,1.24e-05
256,P62857,40S ribosomal protein S28,RPS28,20.86069695,21.82366591,20.7746125,21.19525033,20.84417311,21.85631541,-0.798583027,0.013281837,0.018156709
257,Q08379,Golgin subfamily A member 2,GOLGA2,21.58936403,13.79020335,21.61441432,13.79020335,21.88125756,13.79020335,7.904808619,1.65e-08,1.04e-07
258,Q4VCS5,Angiomotin,AMOT,21.68920822,13.79020335,22.17194107,13.79020335,20.64161197,13.79020335,7.710717066,9.13e-06,1.77e-05
259,Q9NQ34;Q9P0T7,Transmembrane protein 9B;Transmembrane protein 9,TMEM9B;TMEM9,22.13002068,13.79020335,20.86067974,13.79020335,21.78810408,13.79020335,7.802731483,3.81e-06,8.12e-06
260,P50851,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA,21.65313901,13.79020335,21.2649028,13.79020335,22.02719254,13.79020335,7.8582081,3.27e-07,9.55e-07
261,P31948,Stress-induced-phosphoprotein 1,STIP1,21.51686107,13.79020335,21.38499967,13.79020335,22.00379877,13.79020335,7.845016487,1.74e-07,5.87e-07
262,O14640,Segment polarity protein dishevelled homolog DVL-1,DVL1,21.52651883,13.79020335,21.91544496,13.79020335,21.3322353,13.79020335,7.801196346,1.24e-07,4.6e-07
263,Q13501,Sequestosome-1,SQSTM1,21.9073269,13.79020335,21.89777358,13.79020335,20.47800843,13.79020335,7.637499623,1.21e-05,2.31e-05
264,Q99615,DnaJ homolog subfamily C member 7,DNAJC7,21.81616127,13.79020335,21.15911654,13.79020335,21.82821859,13.79020335,7.810962116,3.43e-07,9.93e-07
265,P78310,Coxsackievirus and adenovirus receptor,CXADR,21.57245941,13.79020335,20.24932944,13.79020335,22.35885657,13.79020335,7.603345125,4.21e-05,7.52e-05
266,P17066;P48741,Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7,HSPA6;HSPA7,21.42615604,13.79020335,21.52286269,13.79020335,21.7693803,13.79020335,7.782596323,2.26e-08,1.25e-07
267,Q5VZ89,DENN domain-containing protein 4C,DENND4C,21.43819673,13.79020335,21.59118503,13.79020335,21.65023609,13.79020335,7.769669264,8.11e-09,6.73e-08
268,Q9H0L4,Cleavage stimulation factor subunit 2 tau variant,CSTF2T,21.96022765,13.79020335,21.32277563,13.79020335,21.16621365,13.79020335,7.692868961,5.52e-07,1.51e-06
269,Q9H3P7,Golgi resident protein GCP60,ACBD3,21.58228991,13.79020335,21.32689085,13.79020335,21.65016038,13.79020335,7.729577031,2.11e-08,1.21e-07
270,Q9UHB9,Signal recognition particle subunit SRP68,SRP68,21.4773199,13.79020335,21.32536543,13.79020335,21.75111098,13.79020335,7.727728756,4.21e-08,1.98e-07
271,Q15417,Calponin-3,CNN3,21.23493036,13.79020335,21.85818401,13.79020335,21.2455537,13.79020335,7.65601934,2.83e-07,8.58e-07
272,Q5T6F2,Ubiquitin-associated protein 2,UBAP2,21.34183653,13.79020335,21.23251968,13.79020335,21.897063,13.79020335,7.700269719,2.73e-07,8.33e-07
273,P46776,60S ribosomal protein L27a,RPL27A,21.59780748,19.1419083,21.06933173,19.21766633,20.67439709,20.8178598,1.388033958,0.054538334,0.07008852
274,P06748,Nucleophosmin,NPM1,21.1065577,13.79020335,21.15224543,20.00886527,21.42235106,17.24990398,4.210727198,0.049096932,0.063357451
275,Q9NZZ3,Charged multivesicular body protein 5,CHMP5,17.91230372,13.79020335,21.67580744,13.79020335,22.17794113,13.79020335,6.798480747,0.002598232,0.003838718
276,Q9H2G2,STE20-like serine/threonine-protein kinase,SLK,21.39145167,13.79020335,21.47203166,13.79020335,21.4823844,13.79020335,7.658419226,4.21e-09,4.94e-08
277,Q14008,Cytoskeleton-associated protein 5,CKAP5,21.51309404,13.79020335,21.30912991,13.79020335,21.51940254,13.79020335,7.65700548,1.01e-08,7.85e-08
278,Q6DN12,Multiple C2 and transmembrane domain-containing protein 2,MCTP2,21.5509039,13.79020335,21.53478215,13.79020335,21.14563405,13.79020335,7.62023668,5.52e-08,2.52e-07
279,P58876,Histone H2B type 1-D,H2BC5,13.79020335,13.79020335,16.33514568,23.02765966,16.77220444,15.97938206,-1.966563871,0.49084883,0.511403639
280,Q86T24,Transcriptional regulator Kaiso,ZBTB33,21.2911013,13.79020335,20.37343725,13.79020335,22.18164508,13.79020335,7.49185786,2.07e-05,3.83e-05
281,Q9NZ43,Vesicle transport protein USE1,USE1,21.56169687,13.79020335,21.44334602,13.79020335,21.14922809,13.79020335,7.594553643,4.36e-08,2.04e-07
282,P10412;Q02539;P16402,Histone H1.4;Histone H1.1;Histone H1.3,HIST1H1E;HIST1H1A;HIST1H1D,19.5606758,20.11795927,18.76629082,22.95225836,19.33509814,13.79020335,0.267214592,0.917333013,0.920292152
283,P55010,Eukaryotic translation initiation factor 5,EIF5,21.49427601,13.79020335,20.66841221,13.79020335,21.84422487,13.79020335,7.54543435,3.05e-06,6.65e-06
284,Q93052,Lipoma-preferred partner,LPP,21.03185554,13.79020335,21.27822386,13.79020335,21.77170666,13.79020335,7.570392004,3.74e-07,1.08e-06
285,A8CG34,Nuclear envelope pore membrane protein POM 121C,POM121C,21.17258383,13.79020335,21.58707781,13.79020335,21.24418763,13.79020335,7.544413074,5.16e-08,2.38e-07
286,Q8IZH2,5-3 exoribonuclease 1,XRN1,20.87606461,13.79020335,21.3293043,13.79020335,21.76026229,13.79020335,7.531673717,7.61e-07,2.03e-06
287,Q71UM5;P42677,40S ribosomal protein S27-like;40S ribosomal protein S27,RPS27L;RPS27,20.64881327,20.96789305,20.90813132,20.53314081,20.62498296,20.73202329,-0.017043199,0.920362831,0.921844897
288,Q15208,Serine/threonine-protein kinase 38,STK38,21.32128399,13.79020335,21.09805144,13.79020335,21.60629649,13.79020335,7.551673954,8.27e-08,3.45e-07
289,Q9Y5M8,Signal recognition particle receptor subunit beta,SRPRB,21.69529336,13.79020335,21.45943185,13.79020335,20.38412383,13.79020335,7.389412997,6.64e-06,1.34e-05
290,O43396,Thioredoxin-like protein 1,TXNL1,21.31918389,13.79020335,20.74317104,13.79020335,21.54124712,19.33745515,5.561913401,0.021550885,0.029140545
291,P11021,78 kDa glucose-regulated protein,HSPA5,20.28862657,13.79020335,21.57707726,13.79020335,21.41047659,18.30834472,5.795809666,0.009359811,0.013112168
292,O14681,Etoposide-induced protein 2.4 homolog,EI24,20.99491304,13.79020335,21.65472452,13.79020335,21.03009566,13.79020335,7.436374391,3.84e-07,1.1e-06
293,Q9Y4L1,Hypoxia up-regulated protein 1,HYOU1,21.11858033,13.79020335,21.40797912,13.79020335,21.26501715,13.79020335,7.473655516,1.67e-08,1.04e-07
294,P46060,Ran GTPase-activating protein 1,RANGAP1,21.04578514,13.79020335,21.24423958,13.79020335,21.51911319,13.79020335,7.479509287,6.81e-08,2.99e-07
295,Q9HB71,Calcyclin-binding protein,CACYBP,21.21847545,13.79020335,20.81036484,13.79020335,21.7092505,13.79020335,7.455826911,8.64e-07,2.25e-06
296,Q5SW79,Centrosomal protein of 170 kDa,CEP170,21.1289694,16.62253483,20.83681085,13.79020335,21.45632141,13.79020335,6.406386711,0.000755513,0.001177768
297,Q8IWB1,"Inositol 1,4,5-trisphosphate receptor-interacting protein",ITPRIP,21.70108536,13.79020335,21.31542149,13.79020335,20.31353817,13.79020335,7.319811657,7.79e-06,1.53e-05
298,P51798,H(+)/Cl(-) exchange transporter 7,CLCN7,21.3783092,13.79020335,21.16340348,13.79020335,21.09887459,13.79020335,7.423325741,1.77e-08,1.07e-07
299,O15498,Synaptobrevin homolog YKT6,YKT6,21.05043643,13.79020335,21.06759742,13.79020335,21.53566587,13.79020335,7.427696558,1.19e-07,4.46e-07
300,P49257,Protein ERGIC-53,LMAN1,21.30125818,18.94477549,21.36192182,17.44434363,20.07781305,18.167475,2.728132975,0.004315563,0.006257063
301,Q5SNT2,Transmembrane protein 201,TMEM201,21.37874291,13.79020335,21.00561729,13.79020335,21.21921623,13.79020335,7.410988796,3.37e-08,1.68e-07
302,P30519,Heme oxygenase 2,HMOX2,21.98052425,13.79020335,21.40768757,13.79020335,13.79020335,13.79020335,5.269268371,0.077985317,0.093221303
303,A0A0A6YYL6;P18621,60S ribosomal protein L17,RPL17-C18orf32;RPL17,20.18784114,21.01606499,20.76738865,20.15571851,20.45067516,21.21983468,-0.328571077,0.378699768,0.399917242
304,Q99961;Q99962,Endophilin-A2;Endophilin-A1,SH3GL1;SH3GL2,21.09674024,13.79020335,21.07386471,13.79020335,21.33732125,13.79020335,7.379105382,1.82e-08,1.09e-07
305,O14639,Actin-binding LIM protein 1,ABLIM1,21.03836058,13.79020335,20.70651416,13.79020335,21.61410184,13.79020335,7.329455509,1.03e-06,2.6e-06
306,Q08211,ATP-dependent RNA helicase A,DHX9,20.67688062,13.79020335,20.56772566,21.01574767,20.82667348,13.79020335,4.491708462,0.093813339,0.106287608
307,O15049,NEDD4-binding protein 3,N4BP3,21.00550317,13.79020335,21.51469751,13.79020335,20.4793981,13.79020335,7.209662908,1.9e-06,4.29e-06
308,O00559,Receptor-binding cancer antigen expressed on SiSo cells,EBAG9,21.5770442,13.79020335,21.48416844,13.79020335,17.93894345,13.79020335,6.54318201,0.001843034,0.002769003
309,Q15233,Non-POU domain-containing octamer-binding protein,NONO,20.06010769,19.40970237,20.09398371,21.69779141,20.48528574,18.74555216,0.262110402,0.761710467,0.774156716
310,Q9Y2H6,Fibronectin type-III domain-containing protein 3A,FNDC3A,21.52291946,13.79020335,20.55821984,13.79020335,21.03562901,13.79020335,7.248719419,1.35e-06,3.23e-06
311,P46013,Antigen KI-67,MKI67,18.87146844,19.91541236,17.90007407,22.87684523,13.79020335,18.82489341,-3.685135045,0.093341125,0.105945584
312,Q9C0G6,"Dynein heavy chain 6, axonemal",DNAH6,21.21369367,13.79020335,21.35200451,13.79020335,20.33385193,13.79020335,7.176313354,2.6e-06,5.71e-06
