X,MajorityProteinIDs,ProteinNames,GeneID,DVL3_1,DVL3_2,DVL3_3,DVL3_M_1,DVL3_M_2,DVL3_M_3,DVL3_M_TTLL_1,DVL3_M_TTLL_2,DVL3_M_TTLL_3,DVL3_TTLL_1,DVL3_TTLL_2,DVL3_TTLL_3,logFC_DVL3_TTLL.DVL3,pval_DVL3_TTLL.DVL3,adjpval_DVL3_TTLL.DVL3,logFC_DVL3_M.DVL3,pval_DVL3_M.DVL3,adjpval_DVL3_M.DVL3,logFC_DVL3_M_TTLL.DVL3_TTLL,pval_DVL3_M_TTLL.DVL3_TTLL,adjpval_DVL3_M_TTLL.DVL3_TTLL,logFC_DVL3_M_TTLL.DVL3_M,pval_DVL3_M_TTLL.DVL3_M,adjpval_DVL3_M_TTLL.DVL3_M
247,P13693,Translationally-controlled tumor protein,TPT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
248,P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial;NAD-dependent methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase",MTHFD2,NA,NA,20.00713731,NA,19.81278212,20.80297626,20.65716489,20.0943695,20.52682345,NA,20.33642632,NA,0.109763005,0.938388654,1,1.287262652,0.37597377,0.797908053,2.482755094,0.106617626,0.377727402,1.305255447,0.369645954,0.917514064
249,P14174,Macrophage migration inhibitory factor,MIF,NA,NA,NA,NA,NA,22.85017452,NA,NA,NA,22.11793434,21.53922492,NA,3.387831006,0.093563003,0.379522484,2.034447134,0.288470264,0.775375638,-3.387831006,0.093563003,0.359849227,-2.034447134,0.288470264,0.909328605
250,P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
251,P14618,Pyruvate kinase PKM,PKM,22.32344814,21.14371911,20.61236905,NA,23.52927922,23.57629639,21.9695465,21.2209582,21.6815167,24.79671568,23.82171367,20.69705709,1.745316713,0.356458156,0.655463503,-0.07570919,0.967259792,1,-1.481155011,0.430657539,0.719272575,0.339870892,0.85395049,1
252,P14625,Endoplasmin,HSP90B1,21.21393881,20.42935488,19.28169372,20.94661121,23.24507845,24.06644039,20.5740266,21.15252361,21.51594519,22.82616946,24.01942706,20.91766245,2.279423857,0.04583642,0.279713959,2.44438088,0.034906932,0.404349505,-1.506921191,0.159342755,0.471247723,-1.671878214,0.123076451,0.825251889
253,P63162;P14678,Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B,SNRPN;SNRPB,21.48865334,21.83715337,20.97826543,21.69956448,21.20896198,21.12592914,20.60077186,21.25744826,21.65217538,22.36529211,21.46985628,21.69021317,0.407096472,0.277283875,0.593976247,-0.089872181,0.804004064,1,-0.67165535,0.089277723,0.349020097,-0.174686698,0.631285489,1
254,P14866;M0QYT0,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,22.919402,22.83189829,NA,20.81533331,22.74185789,22.26841014,21.71317013,22.75976976,21.85096302,20.80886145,22.25181969,NA,-0.896873048,0.637502278,0.882356616,1.109155978,0.561447711,0.914545685,2.172129549,0.268401033,0.603902325,0.166100522,0.930010681,1
255,P14868,"Aspartate--tRNA ligase, cytoplasmic",DARS1,22.31899633,20.79023636,21.94693949,20.1551281,23.82069573,22.66099905,22.13106448,22.51079812,19.25312785,23.37258086,22.90350589,23.35996447,1.526626346,0.187001356,0.467877392,0.526883568,0.63332252,0.9653923,-1.913686921,0.107311067,0.377727402,-0.913944143,0.41418997,0.943030395
256,P15170;Q8IYD1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT1;GSPT2,NA,18.8033809,NA,NA,NA,19.40468935,NA,19.98534736,NA,NA,20.37412068,NA,0.523579927,0.704829303,0.933059744,0.200436151,0.884275434,1,-0.129591104,0.924997432,1,0.193552672,0.888218358,1
257,P15531;P22392;O60361,Nucleoside diphosphate kinase A;Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase,NME1;NME2;NME2P1,19.67355216,NA,NA,NA,NA,NA,NA,NA,NA,22.71428822,20.48820387,NA,2.260702266,0.130630129,0.434887506,-0.975573015,0.490285974,0.860498338,-3.236275281,0.041517023,0.246150694,0,1,1
258,P15880,40S ribosomal protein S2,RPS2,28.28726739,28.19322304,28.09179025,28.28368561,28.25088869,28.00484426,28.03482763,27.99975869,27.97566541,28.34292179,28.25180276,28.33501488,0.119152917,0.241949622,0.555374271,-0.010954043,0.91072714,1,-0.306495902,0.010795659,0.12487089,-0.176388942,0.097153907,0.804585156
259,P16278,Beta-galactosidase,GLB1,25.5821817,26.23833991,26.3521331,23.0430806,22.68888467,22.53894885,22.81839309,21.57747397,23.30866505,25.20310433,24.3414784,25.76666061,-0.953803794,0.085131421,0.364724001,-3.300580203,0.000101,0.016219374,-2.535570407,0.00066,0.025808937,-0.188793999,0.709889551,1
260,P16402,Histone H1.3,H1-3,20.43960139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.230922758,0.176479526,0.458563209,-1.230922758,0.176479526,0.699416417,0,1,1,0,1,1
261,P16403,Histone H1.2,H1-2,26.81941366,25.60302401,25.47405375,25.58158573,27.62052247,25.89741008,24.24429722,24.30084703,23.74424651,26.05272216,26.454771,25.87709507,0.162698935,0.773514884,0.984710177,0.401008951,0.48356004,0.860498338,-2.031732493,0.00515963,0.083827243,-2.270042509,0.002703834,0.242090845
262,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,20.95300833,20.38680841,20.72291212,21.37824681,21.71871168,21.61324951,21.45266145,22.34368728,21.11157654,21.16114778,20.41620116,20.96166048,0.158760184,0.636856768,0.882356616,0.882493042,0.024375279,0.336509062,0.789638617,0.038694356,0.238900142,0.065905759,0.843770114,1
263,P16949,Stathmin,STMN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.75273833,NA,NA,1.668635072,0.17604245,0.458563209,0,1,1,-1.668635072,0.17604245,0.47206108,0,1,1
264,P16989,Y-box-binding protein 3,YBX3,23.77347504,22.67444542,22.78510114,23.99451402,23.08242927,22.76195789,23.18911639,22.73781717,22.38822003,22.873801,22.20558125,22.55984052,-0.531266274,0.223240502,0.526434848,0.20195986,0.630445679,0.9653923,0.22531027,0.592082656,0.866310412,-0.507915863,0.24253603,0.895816219
265,P17028,Zinc finger protein 24,ZNF24,21.73453744,22.35815992,21.60062593,NA,21.55447138,21.12473362,20.06530227,21.61969198,21.49143342,22.8444547,21.87381656,22.66115007,0.562032676,0.630078138,0.87858511,-2.08909506,0.097685783,0.641738154,-1.400997886,0.245920381,0.575039993,1.25012985,0.296666302,0.909328605
266,P17029,Zinc finger protein with KRAB and SCAN domains 1,ZKSCAN1,19.49464544,19.29622435,NA,NA,19.03037841,18.96037065,19.13084876,19.32084638,NA,19.47775459,19.92731189,20.1507034,1.339355655,0.204871671,0.495934273,-0.266706911,0.791301312,1,-1.452413874,0.172562645,0.47206108,0.153648693,0.878664822,1
267,P17066,Heat shock 70 kDa protein 6,HSPA6,27.45672763,27.45247862,27.96776127,27.09803061,27.01528932,27.12788785,27.44402599,27.58352377,27.46435383,27.82477535,28.28131569,28.49030892,0.573144146,0.015079833,0.179665443,-0.545253246,0.019068216,0.309796604,-0.70149879,0.005262843,0.084407905,0.416898601,0.056747803,0.735576323
268,P17812,CTP synthase 1,CTPS1,21.40656803,21.71321978,21.850815,19.26862098,21.72647792,22.13921529,19.92124184,21.83126239,21.07425486,22.2918503,21.87110809,20.72519678,-0.027482548,0.973011575,1,-0.612096209,0.458635518,0.841481291,-0.687132025,0.407402014,0.708451493,-0.102518365,0.899616757,1
269,P17844,Probable ATP-dependent RNA helicase DDX5,DDX5,24.84158429,25.46580409,25.91716395,24.58378797,24.93454986,25.09034795,24.7238895,25.09590801,25.11537692,24.84494615,25.34246412,25.16553711,-0.290534981,0.319384883,0.635611877,-0.538622186,0.083039458,0.61468853,-0.139257653,0.625304952,0.890846762,0.108829552,0.701938865,1
270,P17858,"ATP-dependent 6-phosphofructokinase, liver type",PFKL,20.69816718,20.67530833,20.95923246,20.92456667,21.25447244,21.50460731,21.4829313,21.60033965,20.77522904,21.4935928,21.20016913,22.67367888,1.011577617,0.026555817,0.229112597,0.450312817,0.266760914,0.775375638,-0.502980278,0.218778259,0.532473934,0.058284522,0.881437535,1
271,P17980,26S protease regulatory subunit 6A,PSMC3,19.79633131,20.43551359,NA,NA,20.80124647,21.47046684,22.00056845,21.13323895,23.35878541,NA,20.20673776,20.64569109,0.206861317,0.898725566,1,0.679956134,0.677144071,1,2.964443614,0.094258834,0.360026867,2.491348797,0.150145984,0.825251889
272,P17987,T-complex protein 1 subunit alpha,TCP1,26.12414561,26.22813078,26.53754057,25.97079249,26.02462936,26.30282094,26.38715186,26.2528459,26.30442002,26.36267326,26.82573748,26.51106524,0.269886339,0.121103292,0.42917909,-0.197191389,0.242083599,0.755228386,-0.25168607,0.144773689,0.440640959,0.215391658,0.204694227,0.848165487
273,P18077,60S ribosomal protein L35a,RPL35A,26.21012838,26.57872513,26.41829509,26.80718663,27.27343236,27.10764936,27.08421445,26.86477718,26.77339677,26.55898795,26.08503725,26.20292954,-0.120064622,0.509638453,0.78344824,0.660373252,0.004612324,0.140732136,0.625144559,0.006266216,0.094446221,-0.155293315,0.397760134,0.929880437
274,P18085,ADP-ribosylation factor 4,ARF4,22.42330124,22.33038722,22.23570826,22.99899681,22.04050531,21.99782575,22.64888738,22.02033871,21.87674932,22.43179987,21.78324519,22.68782088,-0.028843594,0.933589577,1,0.015977051,0.963179083,1,-0.118963511,0.731941213,0.988129888,-0.163784155,0.638265145,1
275,P18124,60S ribosomal protein L7,RPL7,27.97573241,28.3073591,28.23383224,28.25310371,28.37166491,28.2614586,28.04647089,27.95085505,28.25118129,27.79027946,27.48654464,27.7477483,-0.497450455,0.004044593,0.084329769,0.123101154,0.364158576,0.797908053,0.407978279,0.011796609,0.131705778,-0.21257333,0.133792884,0.825251889
276,P18583,Protein SON,SON,22.47402372,22.58428644,22.95083632,20.06690797,20.97046208,21.67893045,20.80280774,20.51229914,20.48056019,19.90045159,20.98437281,21.14694277,-1.992459774,0.001425913,0.044595433,-1.764281996,0.003022309,0.114573002,-0.078700033,0.860224532,1,-0.306877811,0.49790997,0.967433696
277,P19338,Nucleolin,NCL,29.4941436,29.19419821,29.19411846,29.56760586,29.52885067,29.24399199,29.30060044,29.32751766,29.21163726,28.79600241,28.87558544,28.94859902,-0.420757797,0.006879851,0.111775248,0.152662747,0.234682293,0.750383377,0.40652283,0.00827086,0.105580056,-0.166897713,0.19733879,0.846155216
278,P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,20.16624537,19.5185115,19.20796389,19.89574186,19.54743923,19.03962441,NA,19.4393269,NA,NA,19.79336345,NA,-1.868563694,0.08333938,0.360316902,-0.136638425,0.889547668,1,-0.118012183,0.904512501,1,-1.849937452,0.085959836,0.791027875
279,P19474,E3 ubiquitin-protein ligase TRIM21,TRIM21,25.69620446,24.50733746,24.7781705,25.88888026,25.64943536,25.3918034,26.49740622,26.96537754,26.21820499,23.71444452,25.90551377,25.19621199,-0.055180713,0.92013553,1,0.64946887,0.256391711,0.771024113,1.621606158,0.014733005,0.153591575,0.916956574,0.121630942,0.825251889
280,P19784,Casein kinase II subunit alpha,CSNK2A2,26.93189248,26.95589367,27.20546944,26.54729611,26.46179092,27.21082449,28.10433985,27.90803465,28.14960341,28.11435342,28.52956087,28.22638885,1.259015849,0.000201,0.013265473,-0.291114694,0.191894309,0.714517083,-0.236108412,0.281747249,0.619669392,1.314022131,0.000148,0.023098059
281,P20042,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,20.48573999,21.21977919,21.19541927,22.55560864,22.0509199,21.68930602,20.64594691,20.68848002,21.59114937,19.2678846,22.96331888,19.28635803,-0.461125645,0.618356255,0.874083249,1.131632036,0.237816592,0.755097859,0.469338264,0.612211586,0.883364122,-1.123419418,0.240969004,0.895816219
282,P20290,Transcription factor BTF3,BTF3,19.5237798,19.79610811,19.4063637,21.05081204,21.57736525,21.4136858,20.00905387,21.329725,19.98426841,20.2451477,21.8860097,19.48383985,0.962915213,0.135469669,0.437675805,1.771870496,0.014860932,0.290484788,-0.097316659,0.871730938,1,-0.906271942,0.157050722,0.825251889
283,Q9NRW1;P20340;Q14964,Ras-related protein Rab-6B;Ras-related protein Rab-6A;Ras-related protein Rab-39A,RAB6B;RAB6A;RAB39A,19.78204965,NA,NA,NA,NA,NA,NA,NA,NA,20.42097045,NA,NA,0.212973601,0.848031453,1,-1.011738844,0.373617079,0.797908053,-1.224712445,0.286561831,0.62672876,0,1,1
284,P20700,Lamin-B1,LMNB1,20.40223691,18.67738063,19.0346691,NA,18.12498306,NA,NA,19.08378409,NA,20.53669284,17.26815849,18.88003645,-0.476466288,0.630918502,0.87858511,-2.165212449,0.050948677,0.489260542,-1.36914582,0.187452986,0.483512753,0.319600342,0.74632169,1
285,Q9UQ88;P21127,Cyclin-dependent kinase 11A;Cyclin-dependent kinase 11B,CDK11A;CDK11B,19.36312012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.872095668,0.177429105,0.458563209,-0.872095668,0.177429105,0.699416417,0,1,1,0,1,1
286,P21333,Filamin-A,FLNA,21.46311588,20.4867021,20.92772565,19.93794725,22.82758722,21.84512522,20.83960224,20.56078902,21.02109675,21.23213101,22.54138009,21.6175547,0.837840721,0.24354082,0.558002867,0.57770535,0.411523853,0.81846795,-0.989859266,0.174687418,0.47206108,-0.729723894,0.305173894,0.909328605
287,P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
288,P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,22.17549365,21.48233922,20.51012975,23.43367548,NA,20.15610144,22.80700071,20.87084458,20.4734609,24.04673939,20.93617989,21.62648382,0.813813491,0.617633773,0.874049605,-1.277117528,0.43828955,0.827499068,-0.819365638,0.615272707,0.886758244,1.271565381,0.440213058,0.945866558
289,P22087,rRNA 2-O-methyltransferase fibrillarin,FBL,24.86226665,25.20129558,25.44823836,25.83762401,25.0604521,25.63933354,25.91501345,25.83545647,25.70565185,24.85720634,25.66487997,25.95588502,0.322056909,0.319584229,0.635611877,0.341869688,0.292463837,0.775375638,0.326050148,0.313966508,0.647071008,0.306237368,0.342601184,0.910181204
290,P22102,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
291,P22234,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,PAICS,NA,NA,NA,NA,22.81029025,22.30318921,NA,NA,20.38689996,NA,19.90913581,NA,1.054100896,0.553489446,0.818457797,3.873271074,0.050780558,0.489260542,0.159254718,0.927926161,1,-2.65991546,0.155497446,0.825251889
292,P22314,Ubiquitin-like modifier-activating enzyme 1,UBA1,18.38886052,NA,NA,NA,NA,23.44382159,NA,NA,NA,20.45486812,23.31693604,NA,2.878703507,0.189738976,0.47219186,1.684987026,0.427327457,0.820523351,-3.426045973,0.125880886,0.410096324,-2.232329492,0.299571196,0.909328605
293,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,25.53547147,25.62781334,25.06167327,25.00621575,25.93695836,25.20803286,25.07542597,25.62897039,24.94303737,25.65038176,25.11183115,24.82622377,-0.212173801,0.522630095,0.795389598,-0.024583705,0.94022964,1,0.01966568,0.952167795,1,-0.167924415,0.61125608,1
294,P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,23.00691483,22.34985479,22.96899544,23.67704876,22.2808433,22.78711821,22.7919863,22.72019481,22.33951166,22.72585418,23.62858365,23.62105154,0.549908103,0.192118341,0.476635115,0.139748402,0.727897094,1,-0.707932197,0.103184091,0.377727402,-0.297772497,0.464118471,0.951200353
295,P23246,"Splicing factor, proline- and glutamine-rich",SFPQ,21.91279098,23.16115925,22.88956282,23.59775498,23.29141573,24.3797604,23.18162274,22.27006955,22.24511779,23.27007982,24.51431487,22.7524089,0.857763514,0.145049282,0.450264645,1.10180602,0.070975801,0.554942044,-0.946664506,0.112237771,0.384675269,-1.190707012,0.054370973,0.735576323
296,P23396,40S ribosomal protein S3,RPS3,28.85515151,28.91968079,29.25716976,28.53585402,28.73309544,28.6889966,28.65432674,28.75433975,28.6732531,29.01400521,29.32661227,29.36805204,0.22555582,0.132025064,0.434887506,-0.358018664,0.027760066,0.355621948,-0.542249974,0.003352104,0.067636808,0.04132451,0.767894673,1
297,P23526,Adenosylhomocysteinase,AHCY,19.5666176,NA,17.93774833,19.12322488,19.69630861,22.13026394,NA,NA,NA,21.753413,21.90978811,NA,2.05294506,0.183941361,0.462999281,2.232866128,0.152053952,0.699416417,-3.389844959,0.041914164,0.246171923,-3.569766026,0.034160016,0.735576323
298,P23528,Cofilin-1,CFL1,23.89203698,24.28099037,24.73813044,23.06362159,24.35326485,24.18609254,23.65673314,24.72952305,24.21278412,24.77755898,24.7814251,24.55026836,0.399364882,0.334993694,0.643253953,-0.436059603,0.294964632,0.775375638,-0.503404044,0.231462614,0.548945751,0.332020441,0.418903069,0.943030395
299,P24534,Elongation factor 1-beta,EEF1B2,20.33905497,21.71640938,NA,NA,21.97225005,21.85619481,20.8961732,20.39857891,NA,21.15058287,22.76214658,NA,0.619088368,0.780753075,0.98628936,0.590993505,0.790422982,1,-0.872659114,0.695468319,0.962423525,-0.844564251,0.704722917,1
300,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",ATP5PB,20.76019703,20.60991337,21.81591795,NA,20.66958713,20.76635489,20.70071474,19.72612033,21.46493708,NA,20.44279265,19.66293102,-2.111157189,0.127852696,0.434887506,-1.66775107,0.217510594,0.741557329,1.679738457,0.214506999,0.523096016,1.236332337,0.350977914,0.910181204
301,P24666,Low molecular weight phosphotyrosine protein phosphatase,ACP1,NA,NA,20.18942536,NA,21.40690939,21.56580652,NA,21.13567113,22.19358661,20.50570469,22.52364505,20.45811185,3.268123334,0.104369012,0.40050808,2.012152481,0.294163607,0.775375638,-1.137123576,0.544341136,0.824872981,0.118847276,0.948919302,1
302,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,NA,NA,NA,NA,NA,19.55979992,NA,NA,NA,NA,NA,NA,0,1,1,0.937655601,0.177172054,0.699416417,0,1,1,-0.937655601,0.177172054,0.825251889
303,P25205,DNA replication licensing factor MCM3,MCM3,24.08014959,24.51477227,24.98154442,22.76717939,24.24953175,24.52492677,24.05512562,24.6194861,24.792507,24.7564483,25.56786083,25.40870389,0.718848914,0.163184231,0.458563209,-0.678276124,0.185616507,0.699416417,-0.755298101,0.145119165,0.440640959,0.641826937,0.208014577,0.853200773
304,P25398,40S ribosomal protein S12,RPS12,25.35629847,25.33352612,24.75406725,25.08868449,25.35217606,25.77359827,25.52442689,25.33048424,25.56856254,25.37863609,25.2804998,25.42601615,0.2137534,0.329926298,0.641893933,0.256855659,0.247361892,0.757427695,0.112773877,0.599807458,0.871996587,0.069671618,0.74457017,1
305,P25490;Q96MM3;O15391,Transcriptional repressor protein YY1;Zinc finger protein 42 homolog;Transcription factor YY2,YY1;ZFP42;YY2,21.08749536,19.83088499,NA,20.60422349,19.84330802,20.58543768,20.0995533,20.15322559,21.14895643,21.60665126,19.24341248,20.53765414,1.240834804,0.260932144,0.57570743,1.122585239,0.305914795,0.775375638,0.004672475,0.996489672,1,0.12292204,0.907893794,1
306,P25685,DnaJ homolog subfamily B member 1,DNAJB1,NA,NA,NA,NA,NA,NA,NA,NA,20.48549015,NA,23.47092304,21.68132459,3.886193796,0.039421554,0.264397249,0,1,1,-2.639974785,0.135588997,0.429604715,1.246219011,0.458081714,0.950657895
307,P25705,"ATP synthase subunit alpha, mitochondrial",ATP5F1A,26.77520375,26.81024193,27.34872592,26.45651183,26.59437446,27.12929392,26.94971222,27.07535679,27.14985638,27.19392682,27.48341065,27.53530603,0.426157303,0.077656126,0.352664,-0.251330461,0.269457259,0.775375638,-0.345906038,0.140135649,0.435610895,0.331581726,0.155270665,0.825251889
308,P25788,Proteasome subunit alpha type-3,PSMA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.80419824,NA,NA,1.352455039,0.176315002,0.458563209,0,1,1,-1.352455039,0.176315002,0.47206108,0,1,1
309,P25789,Proteasome subunit alpha type-4,PSMA4,19.39808917,19.17399946,19.57598698,NA,19.79080265,20.03955375,20.62795232,20.66573924,21.47173075,22.72420912,22.31884204,21.78245715,2.89247757,0.004814114,0.088565538,-0.523628696,0.514511013,0.885355264,-1.353361999,0.114104051,0.38807758,2.062744267,0.026089405,0.604404561
310,P26038;P35241;P15311,Moesin;Radixin;Ezrin,MSN;RDX;EZR,NA,NA,NA,NA,NA,19.3609139,NA,NA,NA,21.85488169,20.04877275,NA,2.803329401,0.041758088,0.273504542,0.871360261,0.477916269,0.860498338,-2.803329401,0.041758088,0.246171923,-0.871360261,0.477916269,0.953545857
311,P26196,Probable ATP-dependent RNA helicase DDX6,DDX6,21.28529792,21.97130369,21.93993249,NA,21.96406035,21.95486994,21.39159756,21.43383661,21.44447131,22.45082131,22.23757226,21.5744056,0.355421688,0.774544216,0.984710177,-1.510256896,0.24192416,0.755228386,-0.664297896,0.594645794,0.869044262,1.201380689,0.344845963,0.910181204
312,P26368,Splicing factor U2AF 65 kDa subunit,U2AF2,21.05049755,21.31226934,21.10576858,21.11121515,21.15400279,21.97021347,21.0682736,21.77071562,21.53235396,21.03220352,20.9530129,20.81601762,-0.222433811,0.401749039,0.692003328,0.255631979,0.338378492,0.782865134,0.523369713,0.068977348,0.304536291,0.045303924,0.861628103,1
313,P26373,60S ribosomal protein L13,RPL13,27.82826144,27.93490837,27.85436562,27.88435152,27.94488756,28.00788244,27.94494339,27.91847999,27.79529012,27.51800143,27.25447779,27.78411136,-0.353648286,0.022260639,0.20782134,0.073195361,0.580254621,0.931833801,0.367374311,0.018725675,0.166886678,-0.059469336,0.652200345,1
314,P26599,Polypyrimidine tract-binding protein 1,PTBP1,24.58948963,24.99640317,25.15121785,24.09690545,24.56246924,24.89512113,24.60028895,25.22164737,24.85734761,23.53073572,24.44256199,24.81924893,-0.648188001,0.099011449,0.389507306,-0.394204941,0.291443546,0.775375638,0.628912431,0.107929191,0.377727402,0.374929371,0.314192471,0.909328605
315,P26641,Elongation factor 1-gamma,EEF1G,23.36253651,23.39847597,23.27642435,23.28850157,24.587,24.49081187,23.7894278,23.41980627,23.49926818,24.13959884,25.0497568,23.30665771,0.819525507,0.106027379,0.400725834,0.776292203,0.122983157,0.699416417,-0.595837032,0.223425395,0.537509941,-0.552603728,0.256015568,0.909328605
316,P27348,14-3-3 protein theta,YWHAQ,22.0754919,21.5302583,21.1132358,21.67361544,21.75348956,21.97790678,21.85404915,21.80575994,21.11471823,22.16440178,21.90744027,21.64914486,0.334000303,0.267114353,0.58170781,0.22867526,0.438554662,0.827499068,-0.315486528,0.292689177,0.628797069,-0.210161486,0.475299021,0.951358521
317,P27448,MAP/microtubule affinity-regulating kinase 3,MARK3,21.40731799,22.63422905,20.92809892,NA,19.98565357,18.58795099,19.38003869,20.14825365,21.2526445,23.98426236,23.8764527,23.43527703,2.108782045,0.031188216,0.252594753,-3.216402758,0.003784315,0.125248396,-3.505018415,0.002263851,0.050616467,1.820166388,0.055010618,0.735576323
318,P27635,60S ribosomal protein L10,RPL10,27.64682106,27.54867993,27.28170048,27.00497507,27.5637167,27.52040393,27.40166512,27.34817963,27.27510446,27.94667436,27.35310326,27.29678936,0.039788503,0.854272576,1,-0.129368592,0.554183175,0.913306646,-0.190539257,0.389306565,0.693228321,-0.021382162,0.921317217,1
319,P27694,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed",RPA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
320,P27708,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,27.05788687,26.7725783,26.87858365,26.6195596,26.96547498,26.6546907,26.75191698,27.12627703,26.69738625,25.91339465,25.96421785,26.07684128,-0.918198344,0.000174,0.012096568,-0.156441178,0.316036725,0.777699541,0.873708825,0.000249,0.015564349,0.111951659,0.46661195,0.951200353
321,P27797,Calreticulin,CALR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1
322,P27816,Microtubule-associated protein 4,MAP4,25.79348476,25.15266163,26.34851189,26.38963567,26.07279186,26.03739798,26.37583395,26.21544876,26.20105713,25.88490491,27.28687155,26.55007922,0.809065798,0.060557001,0.318036592,0.401722406,0.313355115,0.776467353,-0.309838617,0.43121857,0.719272575,0.097504775,0.801109427,1
323,P27824,Calnexin,CANX,19.76045843,NA,NA,NA,21.35784368,22.45902422,18.98966198,18.2929164,NA,18.59347891,21.51261248,19.62931354,2.160426758,0.198795863,0.486680284,2.436525455,0.15233096,0.699416417,-1.901997815,0.252874058,0.579387264,-2.178096512,0.19548908,0.846155216
324,P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,NA,NA,NA,NA,NA,19.52426227,NA,NA,NA,NA,NA,NA,0,1,1,0.925809718,0.177214502,0.699416417,0,1,1,-0.925809718,0.177214502,0.825251889
325,P28066,Proteasome subunit alpha type-5,PSMA5,NA,19.41207122,NA,NA,20.37081436,20.55910024,NA,19.59134236,21.43866409,21.20687128,21.1016751,19.24324234,2.882017088,0.080067009,0.355865325,1.590336757,0.303735347,0.775375638,-1.25831638,0.41035619,0.708562385,0.033363951,0.982223288,1
326,P28288,ATP-binding cassette sub-family D member 3,ABCD3,20.49877539,22.25910575,21.89428007,20.28996311,21.26446704,21.29820149,19.50517427,21.74605957,21.451109,20.823703,21.37824329,22.26105786,-0.063052356,0.930532279,1,-0.599843193,0.416181721,0.818621592,-0.586887103,0.425937807,0.714252677,-0.050096266,0.944776192,1
327,P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,NA,NA,19.44679998,NA,NA,NA,20.09721914,NA,NA,NA,19.05447875,NA,-0.130773743,0.90849295,1,-0.899988954,0.437165351,0.827499068,0.34758013,0.760547391,1,1.11679534,0.339519647,0.910181204
328,P28340,DNA polymerase delta catalytic subunit,POLD1,20.65809491,20.2983087,20.32452815,19.80752639,19.2596728,20.5122016,NA,20.32068231,20.86867463,21.57809551,21.82775226,21.07759162,1.067502545,0.280417527,0.596602596,-0.567176987,0.556511792,0.913306646,-2.182416441,0.04402265,0.252625393,-0.547736909,0.56985214,1
329,P28482,Mitogen-activated protein kinase 1,MAPK1,19.83252149,20.22332258,NA,NA,NA,19.62031263,NA,19.83723813,NA,19.59697046,19.54608187,NA,-0.304263912,0.829361749,1,-1.229566107,0.393594645,0.80719164,-0.852993695,0.549484305,0.827202004,0.072308499,0.959097467,1
